309 500
47 48 0
49 50 6
51 52 7
115 116 7
115 117 7
115 117 7
227 228 7
261 262 7
0 1 8
49 53 8
227 228 8
227 228 8
227 229 8
228 227 8
263 264 8
263 264 8
265 263 8
2 3 9
4 5 9
6 7 9
8 3 9
126 127 9
128 129 9
227 230 9
227 228 9
227 231 9
227 232 9
227 229 9
227 230 9
227 228 9
227 233 9
227 231 9
227 232 9
227 229 9
227 228 9
266 267 9
9 6 10
52 48 10
52 54 10
52 55 10
52 56 10
52 57 10
52 58 10
52 59 10
52 60 10
52 50 10
52 61 10
52 62 10
52 63 10
52 64 10
52 49 10
52 65 10
66 52 10
59 52 10
49 54 10
129 130 10
227 228 10
227 228 10
263 268 10
52 66 11
52 67 11
52 51 11
128 131 11
128 131 11
128 131 11
128 131 11
128 131 11
128 131 11
128 131 11
128 131 11
128 131 11
128 131 11
132 133 11
128 131 11
134 131 11
134 127 11
134 126 11
134 135 11
134 136 11
134 137 11
134 138 11
134 128 11
134 139 11
128 140 11
134 137 11
269 270 11
47 48 12
49 68 12
49 69 12
49 48 12
49 70 12
49 52 12
49 71 12
49 54 12
49 56 12
49 66 12
49 53 12
49 57 12
49 72 12
49 73 12
49 74 12
49 58 12
49 75 12
49 59 12
49 76 12
49 60 12
49 47 12
49 50 12
49 61 12
49 77 12
49 62 12
49 78 12
49 63 12
49 51 12
49 79 12
49 80 12
49 65 12
52 59 12
57 70 12
51 52 12
51 66 12
51 67 12
51 49 12
106 107 12
126 141 12
126 142 12
228 227 12
271 272 12
272 271 12
271 272 12
272 271 12
8 10 13
8 11 13
8 1 13
8 12 13
8 13 13
8 14 13
8 3 13
8 15 13
8 16 13
8 9 13
8 17 13
8 18 13
8 19 13
8 20 13
8 21 13
8 22 13
8 23 13
8 24 13
8 7 13
8 25 13
8 4 13
8 5 13
8 26 13
81 52 13
81 71 13
81 56 13
81 74 13
81 59 13
81 79 13
6 13 14
8 10 14
8 11 14
8 1 14
8 12 14
8 13 14
8 14 14
8 3 14
8 15 14
8 16 14
8 9 14
8 17 14
8 18 14
8 19 14
8 20 14
8 21 14
8 22 14
8 23 14
8 24 14
8 7 14
8 25 14
8 4 14
8 5 14
8 26 14
57 60 14
137 135 14
273 274 14
8 22 15
142 143 15
142 126 15
142 144 15
142 145 15
142 138 15
142 146 15
142 147 15
275 276 15
269 277 15
269 278 15
269 263 15
269 279 15
269 280 15
269 281 15
269 275 15
269 266 15
269 282 15
269 283 15
269 284 15
269 285 15
269 286 15
269 287 15
269 288 15
269 289 15
269 262 15
269 290 15
269 291 15
269 292 15
269 293 15
269 270 15
269 268 15
269 294 15
269 295 15
269 296 15
269 297 15
269 276 15
269 274 15
269 264 15
269 272 15
269 261 15
269 265 15
269 271 15
263 277 15
263 276 15
263 272 15
263 264 15
262 279 16
276 275 16
276 263 16
129 128 17
275 276 17
3 8 18
148 149 18
276 262 19
1 0 20
1 0 20
82 83 20
8 3 21
8 3 21
262 276 21
276 262 22
51 52 30
9 15 31
9 22 31
150 135 31
49 56 32
126 127 32
151 152 32
5 3 33
73 49 33
82 83 33
49 75 33
82 84 33
131 128 33
131 128 33
150 135 33
153 149 33
153 132 33
293 264 33
272 264 33
8 3 34
52 48 34
52 70 34
52 54 34
52 55 34
52 56 34
52 58 34
52 59 34
52 60 34
52 50 34
52 61 34
52 62 34
52 63 34
52 64 34
52 49 34
52 65 34
51 56 34
51 56 34
154 155 34
268 265 34
269 270 34
60 85 35
81 52 35
81 71 35
81 56 35
81 74 35
81 59 35
81 79 35
156 128 35
156 128 35
132 148 35
4 5 36
22 6 36
0 1 36
60 85 36
66 52 36
157 134 36
269 289 36
262 269 36
49 73 37
49 77 37
77 49 37
153 149 37
