142 500
19 20 0
19 21 0
22 20 0
47 48 0
49 50 0
49 48 0
113 114 0
113 115 0
113 116 0
113 117 0
113 118 0
113 119 0
113 120 0
113 121 0
113 122 0
113 123 0
113 124 0
113 125 0
113 126 0
113 127 0
113 128 0
113 129 0
113 130 0
0 1 1
0 2 1
0 3 1
0 4 1
21 20 1
20 22 1
23 19 1
21 20 1
21 19 1
51 52 1
50 53 1
88 89 1
90 91 1
130 116 1
130 119 1
0 1 2
20 21 2
21 20 2
50 53 2
92 88 2
92 93 2
113 119 2
113 125 2
113 129 2
21 20 3
48 47 3
92 94 3
88 92 3
92 94 3
92 88 3
120 115 3
120 126 3
120 115 3
120 126 3
0 1 4
24 22 4
24 25 4
49 54 4
50 53 4
92 88 4
88 93 4
94 92 4
95 88 4
119 130 4
5 6 5
23 21 5
20 26 5
20 27 5
20 19 5
20 28 5
20 29 5
20 30 5
20 21 5
55 56 5
57 52 5
91 88 5
7 8 6
52 51 6
52 58 6
52 58 6
52 51 6
52 59 6
52 56 6
96 97 6
96 89 6
96 95 6
96 88 6
96 91 6
96 98 6
96 92 6
96 94 6
96 90 6
96 99 6
88 92 6
94 96 6
92 88 6
21 20 7
23 21 7
59 52 7
95 92 7
89 92 7
96 94 7
92 89 7
93 91 7
93 88 7
129 118 7
21 23 8
21 20 8
23 21 8
51 52 8
51 47 8
130 125 8
127 120 8
21 23 10
90 96 11
9 6 15
30 20 22
30 31 22
21 20 23
48 47 23
48 49 23
59 60 23
49 50 24
50 53 24
60 59 24
61 60 24
88 91 24
20 19 25
20 30 25
20 21 25
21 20 25
59 60 25
59 60 25
60 61 25
60 59 25
88 93 25
88 92 25
96 90 25
88 93 25
128 115 25
128 116 25
128 130 25
128 115 25
128 116 25
128 130 25
113 119 25
130 116 25
59 52 26
60 62 26
60 63 26
60 64 26
60 51 26
60 52 26
88 98 26
88 97 26
88 100 26
88 89 26
88 101 26
88 102 26
88 95 26
88 96 26
88 103 26
88 91 26
88 98 26
88 92 26
88 94 26
88 104 26
88 90 26
88 99 26
103 92 26
113 117 26
113 118 26
113 119 26
113 120 26
113 121 26
113 123 26
113 125 26
113 126 26
113 129 26
129 113 26
119 113 26
120 113 26
117 113 26
30 20 27
20 21 27
98 89 27
88 92 27
102 90 27
90 102 27
89 98 27
89 98 27
102 90 27
92 103 27
92 88 27
92 93 27
92 98 27
92 88 27
92 93 27
92 98 27
24 25 28
20 21 28
51 60 28
50 53 28
50 53 28
88 93 28
88 98 28
88 92 28
96 89 28
93 88 28
89 96 28
20 30 29
98 101 29
116 128 29
116 130 29
10 11 30
10 12 30
10 7 30
10 6 30
10 1 30
10 0 30
10 2 30
10 3 30
10 4 30
10 5 30
10 8 30
10 13 30
10 9 30
10 14 30
10 15 30
21 20 30
21 20 30
88 93 30
92 88 30
93 88 30
88 93 30
101 98 30
6 1 31
6 5 31
30 20 31
19 20 31
59 52 31
88 92 31
95 88 31
89 91 31
95 97 31
95 89 31
95 96 31
95 91 31
95 92 31
95 90 31
120 113 31
47 48 32
47 48 32
52 59 32
52 51 32
95 92 32
102 90 32
21 20 33
90 102 33
90 102 33
32 25 37
9 6 47
20 19 47
48 49 47
24 19 48
60 51 48
60 52 48
60 65 48
49 50 48
49 50 48
49 48 48
6 11 49
6 7 49
6 1 49
6 0 49
6 10 49
6 5 49
6 8 49
6 14 49
6 15 49
20 21 49
21 20 49
47 63 49
49 50 49
49 48 49
21 20 50
20 21 50
27 25 50
123 113 50
19 20 51
20 21 51
21 20 51
95 91 51
126 118 51
118 126 51
55 51 52
51 52 52
89 92 52
49 50 53
52 51 53
51 65 53
113 121 53
113 121 53
25 24 54
20 21 54
51 58 54
51 60 54
51 59 54
51 64 54
51 56 54
51 52 54
51 61 54
51 55 54
128 115 54
128 116 54
128 130 54
125 114 54
118 125 54
118 113 54
21 20 55
59 60 55
60 59 55
59 60 55
33 22 56
33 22 56
33 22 56
21 20 56
90 102 56
90 102 56
20 21 57
90 102 57
88 93 57
93 88 57
88 93 57
93 88 57
93 88 57
88 93 57
88 93 57
93 88 57
128 115 57
128 116 57
128 130 57
20 21 58
59 64 58
59 61 58
59 55 58
59 50 58
59 66 58
88 93 58
90 102 58
93 88 58
93 88 58
88 93 58
93 88 58
88 93 58
93 88 58
88 93 58
93 88 58
67 56 59
67 48 59
67 52 59
127 126 59
59 64 60
59 61 60
59 55 60
59 50 60
59 66 60
52 67 60
52 59 63
47 48 70
47 48 70
20 21 71
88 93 72
5 6 73
7 8 73
7 6 73
20 26 73
20 27 73
20 19 73
20 28 73
20 29 73
20 30 73
20 29 73
21 20 73
48 67 73
51 62 73
103 93 73
93 103 73
103 93 73
102 90 73
13 0 74
20 21 74
23 19 74
21 20 74
23 34 74
51 57 74
51 55 74
51 56 74
61 59 74
56 67 74
57 52 74
50 53 74
50 53 74
68 60 74
52 55 74
103 101 74
101 103 74
90 102 74
90 94 74
20 21 75
30 20 75
20 30 75
51 52 75
103 93 75
103 92 75
94 89 75
89 94 75
94 89 75
95 91 75
20 19 76
49 48 76
49 48 76
119 115 76
119 116 76
119 117 76
119 120 76
119 123 76
119 124 76
119 125 76
119 128 76
119 129 76
119 130 76
119 131 76
130 127 76
61 50 77
51 58 77
51 60 77
51 59 77
51 64 77
51 56 77
51 52 77
51 61 77
51 55 77
51 63 77
51 69 77
51 47 77
51 70 77
59 64 77
93 88 77
131 119 77
19 20 78
47 48 78
128 116 78
128 130 78
122 113 78
120 115 78
122 116 78
9 6 79
9 6 79
9 6 79
9 6 79
52 59 79
68 47 79
102 90 79
24 25 80
59 52 80
52 71 80
59 52 80
52 59 81
55 56 81
55 52 81
55 48 81
21 20 82
67 56 82
47 48 83
93 103 83
48 49 94
25 24 95
47 48 95
21 20 96
49 50 96
47 48 96
47 63 96
47 52 96
93 88 96
98 88 96
20 21 97
20 21 97
130 116 97
130 119 97
49 50 98
60 56 98
93 88 98
